Timestamp	ResetId	SymbolId	OpType	Duration	Input	Output
2020-07-23 10:25:00.244	0	-1	Reset	933400	Reset	Reset
2020-07-23 10:25:00.346	0	0	TimedIO	100563500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:00.348	1	-1	Reset	536000	Reset	Reset
2020-07-23 10:25:00.455	1	0	TimedIO	105529100	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
2020-07-23 10:25:00.458	2	-1	Reset	794800	Reset	Reset
2020-07-23 10:25:00.459	2	0	TimedIO	595800	EmptyCertificate	Alert2.10ConnectionClosed
2020-07-23 10:25:00.462	3	-1	Reset	820400	Reset	Reset
2020-07-23 10:25:00.467	3	0	TimedIO	2544000	ClientKeyExchange	Alert2.10ConnectionClosed
2020-07-23 10:25:00.468	4	-1	Reset	391800	Reset	Reset
2020-07-23 10:25:00.485	4	0	TimedIO	16133600	ChangeCipherSpec	Alert2.10ConnectionClosed
2020-07-23 10:25:00.487	5	-1	Reset	659800	Reset	Reset
2020-07-23 10:25:00.488	5	0	TimedIO	365700	Finished	Alert2.10ConnectionClosed
2020-07-23 10:25:00.493	6	-1	Reset	527400	Reset	Reset
2020-07-23 10:25:00.494	6	0	TimedIO	265500	ApplicationData	Alert2.10ConnectionClosed
2020-07-23 10:25:00.498	7	-1	Reset	1501900	Reset	Reset
2020-07-23 10:25:00.499	7	0	TimedIO	299400	ApplicationDataEmpty	Alert2.10ConnectionClosed
2020-07-23 10:25:00.501	8	-1	Reset	487500	Reset	Reset
2020-07-23 10:25:00.501	8	0	TimedIO	144100	Alert10	Alert2.10ConnectionClosed
2020-07-23 10:25:00.503	9	-1	Reset	621000	Reset	Reset
2020-07-23 10:25:00.607	9	0	TimedIO	101797600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:00.607	9	1	TimedIO	290200	ClientHelloRSA	Alert2.10ConnectionClosed
2020-07-23 10:25:00.609	10	-1	Reset	396600	Reset	Reset
2020-07-23 10:25:00.709	10	0	TimedIO	99625300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:00.710	10	1	TimedIO	348700	ClientHelloDHE	Alert2.10ConnectionClosed
2020-07-23 10:25:00.713	11	-1	Reset	969000	Reset	Reset
2020-07-23 10:25:00.815	11	0	TimedIO	100443200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:00.816	11	1	TimedIO	312000	EmptyCertificate	Alert2.10ConnectionClosed
2020-07-23 10:25:00.818	12	-1	Reset	515300	Reset	Reset
2020-07-23 10:25:00.919	12	0	TimedIO	100441700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:01.021	12	1	TimedIO	101375100	ClientKeyExchange	Empty
2020-07-23 10:25:01.023	13	-1	Reset	580400	Reset	Reset
2020-07-23 10:25:01.124	13	0	TimedIO	100452100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:01.124	13	1	TimedIO	389200	ChangeCipherSpec	Alert2.10ConnectionClosed
2020-07-23 10:25:01.126	14	-1	Reset	419300	Reset	Reset
2020-07-23 10:25:01.228	14	0	TimedIO	100811200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:01.229	14	1	TimedIO	465100	Finished	Alert2.10ConnectionClosed
2020-07-23 10:25:01.231	15	-1	Reset	1016600	Reset	Reset
2020-07-23 10:25:01.332	15	0	TimedIO	99651700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2020-07-23 10:25:01.333	15	1	TimedIO	240200	ApplicationData	Alert2.10ConnectionClosed
2020-07-23 10:25:01.334	16	-1	Reset	405100	Reset	Reset
