ResetId	SymbolId	OpType	Duration	Input	Output
2243	0	TimedIO	280200	Finished	Alert2.10ConnectionClosed
2244	-1	Reset	212500	Reset	Reset
2244	0	TimedIO	288500	ClientKeyExchange	Alert2.10ConnectionClosed
2245	-1	Reset	126000	Reset	Reset
2245	0	TimedIO	199900	ChangeCipherSpec	Alert2.10ConnectionClosed
2246	-1	Reset	168300	Reset	Reset
2246	0	TimedIO	203400	ApplicationDataEmpty	Alert2.10ConnectionClosed
2247	-1	Reset	142300	Reset	Reset
2247	0	TimedIO	200300	Alert10	Alert2.10ConnectionClosed
2248	-1	Reset	143500	Reset	Reset
2248	0	TimedIO	100363100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2249	-1	Reset	442000	Reset	Reset
