ResetId	SymbolId	OpType	Duration	Input	Output
2171	2	TimedIO	100236600	ChangeCipherSpec	Empty
2171	3	TimedIO	387400	ChangeCipherSpec	Alert2.10ConnectionClosed
2172	-1	Reset	461100	Reset	Reset
2172	0	TimedIO	100390600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2172	1	TimedIO	100325500	ClientKeyExchange	Empty
2172	2	TimedIO	100253200	ChangeCipherSpec	Empty
2172	3	TimedIO	101266800	Finished	ChangeCipherSpecHandshakeFinished
2173	-1	Reset	732800	Reset	Reset
2173	0	TimedIO	100875300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2173	1	TimedIO	100381800	ClientKeyExchange	Empty
2173	2	TimedIO	100418300	ChangeCipherSpec	Empty
2173	3	TimedIO	463400	ClientHelloRSA	Alert2.10ConnectionClosed
2174	-1	Reset	549900	Reset	Reset
2174	0	TimedIO	100662600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2174	1	TimedIO	100512500	ClientKeyExchange	Empty
2174	2	TimedIO	100374600	ChangeCipherSpec	Empty
2174	3	TimedIO	525600	ApplicationDataEmpty	Alert2.10ConnectionClosed
2175	-1	Reset	482100	Reset	Reset
2175	0	TimedIO	100603400	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2175	1	TimedIO	100375700	ClientKeyExchange	Empty
2175	2	TimedIO	100445000	ChangeCipherSpec	Empty
2175	3	TimedIO	987600	ClientKeyExchange	Alert2.10ConnectionClosed
2176	-1	Reset	822300	Reset	Reset
2176	0	TimedIO	100930500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2176	1	TimedIO	100229600	ClientKeyExchange	Empty
2176	2	TimedIO	100396400	ChangeCipherSpec	Empty
2176	3	TimedIO	521300	ClientHelloDHE	Alert2.10ConnectionClosed
2177	-1	Reset	468700	Reset	Reset
2177	0	TimedIO	100543200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2177	1	TimedIO	100284500	ClientKeyExchange	Empty
2177	2	TimedIO	100281200	ChangeCipherSpec	Empty
2177	3	TimedIO	756300	EmptyCertificate	Alert2.10ConnectionClosed
2178	-1	Reset	796400	Reset	Reset
2178	0	TimedIO	100816900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2178	1	TimedIO	100311000	ClientKeyExchange	Empty
2178	2	TimedIO	100357100	ChangeCipherSpec	Empty
2178	3	TimedIO	790300	Alert10	Alert2.10ConnectionClosed
2179	-1	Reset	914400	Reset	Reset
2179	0	TimedIO	100992400	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2179	1	TimedIO	100283900	ClientKeyExchange	Empty
2179	2	TimedIO	100265400	ChangeCipherSpec	Empty
2179	3	TimedIO	101155600	Finished	ChangeCipherSpecHandshakeFinished
2179	4	TimedIO	488000	EmptyCertificate	Alert2.10ConnectionClosed
2180	-1	Reset	531100	Reset	Reset
2180	0	TimedIO	100520700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2180	1	TimedIO	100611500	ClientKeyExchange	Empty
2180	2	TimedIO	100424000	ChangeCipherSpec	Empty
2180	3	TimedIO	101185300	Finished	ChangeCipherSpecHandshakeFinished
2180	4	TimedIO	478900	ChangeCipherSpec	Alert2.10ConnectionClosed
2181	-1	Reset	468000	Reset	Reset
2181	0	TimedIO	100545100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2181	1	TimedIO	100438400	ClientKeyExchange	Empty
2181	2	TimedIO	100212700	ChangeCipherSpec	Empty
2181	3	TimedIO	100466600	Finished	ChangeCipherSpecHandshakeFinished
2181	4	TimedIO	625900	ClientHelloDHE	Alert2.40ConnectionClosed
2182	-1	Reset	453400	Reset	Reset
2182	0	TimedIO	100803700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2182	1	TimedIO	100567400	ClientKeyExchange	Empty
2182	2	TimedIO	100300800	ChangeCipherSpec	Empty
2182	3	TimedIO	101191100	Finished	ChangeCipherSpecHandshakeFinished
2182	4	TimedIO	476100	ClientHelloRSA	Alert2.40ConnectionClosed
2183	-1	Reset	625300	Reset	Reset
2183	0	TimedIO	100523700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
