ResetId	SymbolId	OpType	Duration	Input	Output
0	-1	Reset	802800	Reset	Reset
0	0	TimedIO	101165000	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
1	-1	Reset	726700	Reset	Reset
1	0	TimedIO	107731300	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
2	-1	Reset	754600	Reset	Reset
2	0	TimedIO	635400	EmptyCertificate	Alert2.10ConnectionClosed
3	-1	Reset	670200	Reset	Reset
3	0	TimedIO	1535900	ClientKeyExchange	Alert2.10ConnectionClosed
4	-1	Reset	634900	Reset	Reset
4	0	TimedIO	6272700	ChangeCipherSpec	Alert2.10ConnectionClosed
5	-1	Reset	695400	Reset	Reset
5	0	TimedIO	557200	Finished	Alert2.10ConnectionClosed
6	-1	Reset	987700	Reset	Reset
6	0	TimedIO	267200	ApplicationData	Alert2.10ConnectionClosed
7	-1	Reset	625900	Reset	Reset
7	0	TimedIO	288800	ApplicationDataEmpty	Alert2.10ConnectionClosed
8	-1	Reset	530100	Reset	Reset
8	0	TimedIO	236200	Alert10	Alert2.10ConnectionClosed
9	-1	Reset	1213100	Reset	Reset
9	0	TimedIO	100565900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
9	1	TimedIO	333600	ClientHelloRSA	Alert2.10ConnectionClosed
10	-1	Reset	552300	Reset	Reset
10	0	TimedIO	101316200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
10	1	TimedIO	479400	ClientHelloDHE	Alert2.10ConnectionClosed
11	-1	Reset	595600	Reset	Reset
11	0	TimedIO	100585500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
11	1	TimedIO	281400	EmptyCertificate	Alert2.10ConnectionClosed
12	-1	Reset	475100	Reset	Reset
12	0	TimedIO	100527200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
12	1	TimedIO	100554000	ClientKeyExchange	Empty
13	-1	Reset	626400	Reset	Reset
13	0	TimedIO	100572600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
13	1	TimedIO	652300	ChangeCipherSpec	Alert2.10ConnectionClosed
14	-1	Reset	718200	Reset	Reset
14	0	TimedIO	100829200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
14	1	TimedIO	518800	Finished	Alert2.10ConnectionClosed
15	-1	Reset	515100	Reset	Reset
15	0	TimedIO	100558800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
15	1	TimedIO	371200	ApplicationData	Alert2.10ConnectionClosed
16	-1	Reset	558900	Reset	Reset
16	0	TimedIO	100834800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
16	1	TimedIO	340800	ApplicationDataEmpty	Alert2.10ConnectionClosed
17	-1	Reset	518500	Reset	Reset
17	0	TimedIO	100626500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
17	1	TimedIO	268600	Alert10	ConnectionClosed
18	-1	Reset	644900	Reset	Reset
18	0	TimedIO	106430700	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
18	1	TimedIO	342400	ClientHelloRSA	Alert2.10ConnectionClosed
19	-1	Reset	412100	Reset	Reset
19	0	TimedIO	103188900	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
19	1	TimedIO	380600	ClientHelloDHE	Alert2.10ConnectionClosed
20	-1	Reset	510300	Reset	Reset
20	0	TimedIO	105146500	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
20	1	TimedIO	307900	EmptyCertificate	Alert2.10ConnectionClosed
21	-1	Reset	376000	Reset	Reset
21	0	TimedIO	103832300	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
21	1	TimedIO	100255700	ClientKeyExchange	Empty
22	-1	Reset	623900	Reset	Reset
22	0	TimedIO	105855400	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
22	1	TimedIO	429600	ChangeCipherSpec	Alert2.10ConnectionClosed
23	-1	Reset	424000	Reset	Reset
